K Rank Cond Parq1,K Rank Cond Parq5,Par Q1,Par Top1Pc,Type
0.4633,0.535,0.0935,0.0357,For profit
0.4001,0.5138,0.0778,0.0373,Private-non profit
0.7257,0.7859,0.0481,0.0436,Private-non profit
0.7143,0.7833,0.0305,0.154,Private-non profit
0.7611,0.8228,0.0511,0.0706,Private-non profit
0.736,0.788,0.0358,0.1448,Private-non profit
0.6661,0.6935,0.0493,0.1227,Private-non profit
0.6532,0.685,0.0586,0.0618,Private-non profit
0.6865,0.7191,0.0721,0.1002,Private-non profit
0.6742,0.7022,0.1493,0.0072,Public
0.6237,0.659,0.1045,0.0093,Public
0.5846,0.6244,0.0507,0.022,Public
0.6395,0.6326,0.1406,0.0037,Public
0.6046,0.685,0.0609,0.0219,Public
0.5653,0.6184,0.2632,0.0007,Public
0.6384,0.6944,0.0989,0.0052,Public
0.5865,0.6612,0.1595,0.0085,Public
0.631,0.6559,0.1212,0.0086,Public
0.6429,0.6611,0.1161,0.0118,Public
0.6061,0.6447,0.3312,0.0016,Public
0.6294,0.6181,0.105,0.0138,Public
0.6067,0.6354,0.1979,0.0067,Public
0.5946,0.6493,0.141,0.0039,Public
0.5683,0.631,0.09,0.0221,Public
0.6082,0.6272,0.1335,0.0033,Public
0.5971,0.67,0.0976,0.0012,Public
0.595,0.6788,0.0503,0.0181,Public
0.6414,0.6803,0.0898,0.0186,Public
0.509,0.5549,0.184,0.0039,Public
0.6168,0.6362,0.1007,0.0129,Public
0.523,0.6029,0.26,0.0002,Public
0.4897,0.5793,0.0779,0.0114,Public
0.6693,0.7156,0.0321,0.0293,Public
0.6991,0.749,0.0884,0.0471,Public
0.6985,0.732,0.0858,0.0267,Public
0.7071,0.7173,0.1225,0.016,Public
0.6939,0.7407,0.1024,0.0368,Public
0.64,0.6898,0.1467,0.0086,Public
0.7006,0.7441,0.0878,0.0336,Public
0.6701,0.7151,0.0621,0.0381,Public
0.6113,0.6359,0.0737,0.0265,Public
0.6301,0.7087,0.0346,0.0552,Public
0.6084,0.6364,0.0655,0.0125,Public
0.5595,0.5811,0.0678,0.0108,Public
0.4633,0.6041,0.0566,0.0204,Public
0.5114,0.5822,0.1524,0.0032,Public
0.5826,0.6429,0.0488,0.0347,Public
0.609,0.6629,0.0933,0.0077,Public
0.6817,0.7136,0.05,0.0488,Public
0.6353,0.7019,0.0578,0.0143,Public
